公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1101,台泥,88684641,70005452,18679189,--,--,18679189,3512484,--,15166705,766761,15933466,3379050,12554416,--,--,12554416,-1382892,--,11171524,8244719,--,4309697,6881333,--,4290191,2.23
1102,亞泥,57234891,49338081,7896810,667,--,7896143,2005522,--,5890621,3723693,9614314,1375043,8239271,--,--,8239271,-1764294,--,6474977,7198698,--,1040573,5247993,--,1226984,2.29
1103,嘉泥,2818004,2664698,153306,--,--,153306,360387,--,-207081,430012,222931,31495,191436,--,--,191436,-1333250,--,-1141814,150116,--,41320,-1140794,--,-1020,0.23
1104,環球水泥,4242326,3854884,387442,--,--,387442,256418,--,131024,983212,1114236,70548,1043688,--,--,1043688,142344,--,1186032,1045732,--,-2044,1188076,--,-2044,1.7
1108,幸福水泥,3732290,3191802,540488,--,--,540488,196898,--,343590,15727,359317,63206,296111,--,--,296111,-9132,--,286979,305953,--,-9842,294783,--,-7804,0.76
1109,信大水泥,3629205,2893700,735505,--,--,735505,375385,--,360120,-3505,356615,81373,275242,0,--,275242,3651,--,278893,230666,--,44576,231325,--,47568,0.55
1110,東泥,1485757,1331866,153891,--,--,153891,58516,--,95375,74315,169690,1481,168209,--,--,168209,133240,--,301449,167726,--,483,300967,--,482,0.29
1201,味全公司,21764292,15277530,6486762,--,--,6486762,5499473,--,987289,-414044,573245,285056,288189,--,--,288189,24833,--,313022,375283,--,-87094,399165,--,-86143,0.74
1203,味王公司,4514173,3438932,1075241,0,0,1075241,675444,--,399797,-2387,397410,130098,267312,0,--,267312,176599,--,443911,194717,--,72595,333206,--,110705,0.82
1210,大成長城,67482423,61289405,6193018,--,--,6193018,5114196,--,1078822,478002,1556824,263655,1293169,--,--,1293169,377474,--,1670643,1167119,--,126050,1452225,--,218418,1.71
1213,大飲,567749,482508,85241,--,--,85241,65994,--,19247,5088,24335,6018,18317,--,--,18317,1016,--,19333,18317,--,--,19333,--,--,0.36
1215,卜蜂企業,13008758,11505883,1502875,--,--,1502875,847225,21213,676863,36626,713489,143177,570312,--,--,570312,-37049,--,533263,550008,--,20304,511822,--,21441,2.26
1216,統一,327273397,223403959,103869438,--,--,103869438,88459094,--,15410344,3202016,18612360,3666877,14945483,--,--,14945483,-110984,--,14834499,9197606,--,5747877,9412621,--,5421878,1.68
1217,愛之味,3509907,2475985,1033922,--,--,1033922,1298780,--,-264858,-72983,-337841,12013,-349854,--,--,-349854,-47124,--,-396978,-314548,--,-35306,-357719,--,-39259,-0.65
1218,泰山企業,7062840,5987660,1075180,192,410,1075398,1139377,0,-63979,146530,82551,7636,74915,--,--,74915,11775,--,86690,74833,--,82,86608,--,82,0.22
1219,福壽實業,7803616,7307923,495693,--,--,495693,465425,--,30268,29737,60005,8204,51801,--,--,51801,457,--,52258,53894,--,-2093,55460,--,-3202,0.17
1220,台榮,2497984,2268844,229140,--,--,229140,182902,--,46238,12742,58980,9802,49178,--,--,49178,-14742,--,34436,57439,--,-8261,42731,--,-8295,0.32
1225,福懋油,9150565,8744911,405654,-73,--,405727,377733,-5912,22082,-32893,-10811,4051,-14862,0,--,-14862,4388,--,-10474,-24106,--,9244,-19718,--,9244,-0.12
