???q?N??,???q?W??,"???~???J","???~????","???~???Q?]???l?^","?????{?P?f?]?l?^?q","?w???{?P?f?]?l?^?q","???~???Q?]???l?^?b?B","???~?O??","???L???q?ζO?l?b?B","???~?Q?q?]?l???^","???~?~???J?Τ??X","?|?e?b?Q?]?b?l?^","?ұo?|?O?Ρ]?Q?q?^","?~?????~???쥻?��b?Q?]?b?l?^","???~?????l?q","?X?֫e?D?ݦ@?P???????v?l?q","???��b?Q?]?b?l?^","???L???X?l?q?]?b?B?^","?X?֫e?D?ݦ@?P???????v???X?l?q?b?B","???��??X?l?q?`?B","?b?Q?]?b?l?^?k?ݩ??��??q?~?D","?b?Q?]?b?l?^?k?ݩ??@?P?????U?e???v?q","?b?Q?]?b?l?^?k?ݩ??D?????v?q","???X?l?q?`?B?k?ݩ??��??q?~?D","???X?l?q?`?B?k?ݩ??@?P?????U?e???v?q","???X?l?q?`?B?k?ݩ??D?????v?q","?򥻨C?Ѭվl?]???^",
"1101","?x?d",52784231.00,44038350.00,8745881.00,--,--,8745881.00,2130160.00,--,6615721.00,333842.00,6949563.00,1147834.00,5801729.00,--,--,5801729.00,62501.00,--,5864230.00,3999822.00,--,1801907.00,2860750.00,--,3003480.00,1.08,
"1102","?Ȫd",32112806.00,28709964.00,3402842.00,0.00,25.00,3402867.00,1164883.00,--,2237984.00,2546041.00,4784025.00,477786.00,4306239.00,--,--,4306239.00,-656597.00,--,3649642.00,3713735.00,--,592504.00,2412392.00,--,1237250.00,1.23,
"1103","?Ūd",1792335.00,1820457.00,-28122.00,--,--,-28122.00,201190.00,--,-229312.00,214709.00,-14603.00,-29145.00,14542.00,--,--,14542.00,-556563.00,--,-542021.00,49143.00,--,-34601.00,-508520.00,--,-33501.00,0.08,
"1104","???y???d",2465349.00,2226895.00,238454.00,--,--,238454.00,195132.00,--,43322.00,498046.00,541368.00,20903.00,520465.00,--,--,520465.00,277995.00,--,798460.00,516611.00,--,3854.00,794606.00,--,3854.00,0.86,
"1108","???֤??d",2325405.00,2033657.00,291748.00,0.00,0.00,291748.00,122188.00,0.00,169560.00,-31824.00,137736.00,31643.00,106093.00,0.00,--,106093.00,-10394.00,--,95699.00,115705.00,--,-9612.00,106403.00,--,-10704.00,0.29,
"1109","?H?j???d",1926413.00,1620100.00,306313.00,--,--,306313.00,213727.00,--,92586.00,32084.00,124670.00,17881.00,106789.00,--,--,106789.00,105422.00,--,212211.00,106585.00,--,204.00,172684.00,--,39527.00,0.25,
"1110","?F?d",947877.00,813607.00,134270.00,--,--,134270.00,27993.00,--,106277.00,-39806.00,66471.00,-11777.00,78248.00,--,--,78248.00,75315.00,--,153563.00,77791.00,--,457.00,153104.00,--,459.00,0.14,
"1201","???????q",14278478.00,9693214.00,4585264.00,--,--,4585264.00,3860875.00,--,724389.00,-5125.00,719264.00,262479.00,456785.00,--,--,456785.00,179541.00,--,636326.00,550094.00,--,-93309.00,715140.00,--,-78814.00,1.09,
"1203","???????q",3069522.00,2432007.00,637515.00,0.00,0.00,637515.00,422485.00,--,215030.00,45797.00,260827.00,48250.00,212577.00,0.00,--,212577.00,31548.00,--,244125.00,162412.00,--,50165.00,194455.00,--,49670.00,0.68,
"1210","?j??????",42614910.00,39064742.00,3550168.00,--,--,3550168.00,3400348.00,--,149820.00,182249.00,332069.00,105025.00,227044.00,--,--,227044.00,624126.00,--,851170.00,278209.00,--,-51165.00,669875.00,--,181295.00,0.53,
