公司代號,公司名稱,"營業收入","營業成本","營業毛利（毛損）","未實現銷貨（損）益","已實現銷貨（損）益","營業毛利（毛損）淨額","營業費用","其他收益及費損淨額","營業利益（損失）","營業外收入及支出","稅前淨利（淨損）","所得稅費用（利益）","繼續營業單位本期淨利（淨損）","停業單位損益","合併前非屬共同控制股權損益","本期淨利（淨損）","其他綜合損益（淨額）","合併前非屬共同控制股權綜合損益淨額","本期綜合損益總額","淨利（淨損）歸屬於母公司業主","淨利（淨損）歸屬於共同控制下前手權益","淨利（淨損）歸屬於非控制權益","綜合損益總額歸屬於母公司業主","綜合損益總額歸屬於共同控制下前手權益","綜合損益總額歸屬於非控制權益","基本每股盈餘（元）",
"1101","台泥",82891070.00,67090700.00,15800370.00,--,--,15800370.00,3274015.00,--,12526355.00,941629.00,13467984.00,2321593.00,11146391.00,--,--,11146391.00,1488481.00,--,12634872.00,7594015.00,--,3552376.00,7886350.00,--,4748522.00,2.06,
"1102","亞泥",49722594.00,44381623.00,5340971.00,1.00,0.00,5340970.00,1694425.00,--,3646545.00,2832807.00,6479352.00,811724.00,5667628.00,--,--,5667628.00,-554256.00,--,5113372.00,4755922.00,--,911706.00,3680142.00,--,1433230.00,1.54,
"1103","嘉泥",2738060.00,2777167.00,-39107.00,--,--,-39107.00,310079.00,--,-349186.00,536310.00,187124.00,-5858.00,192982.00,--,--,192982.00,948404.00,--,1141386.00,237079.00,--,-44097.00,1129199.00,--,12187.00,0.37,
"1104","環球水泥",3760641.00,3406439.00,354202.00,--,--,354202.00,288045.00,--,66157.00,712871.00,779028.00,20031.00,758997.00,--,--,758997.00,220307.00,--,979304.00,754850.00,--,4147.00,975157.00,--,4147.00,1.25,
"1108","幸福水泥",3521208.00,3073807.00,447401.00,--,--,447401.00,193901.00,--,253500.00,-48262.00,205238.00,46129.00,159109.00,--,--,159109.00,-10116.00,--,148993.00,171007.00,--,-11898.00,161704.00,--,-12711.00,0.42,
"1109","信大水泥",2911968.00,2501893.00,410075.00,--,--,410075.00,302914.00,--,107161.00,37682.00,144843.00,23903.00,120940.00,--,--,120940.00,84772.00,--,205712.00,127657.00,--,-6717.00,181772.00,--,23940.00,0.30,
"1110","東泥",1448873.00,1250076.00,198797.00,--,--,198797.00,41694.00,--,157103.00,14680.00,171783.00,-15497.00,187280.00,--,--,187280.00,129979.00,--,317259.00,186606.00,--,674.00,316582.00,--,677.00,0.33,
"1201","味全公司",22540133.00,15258259.00,7281874.00,--,--,7281874.00,6157767.00,--,1124107.00,-44284.00,1079823.00,375927.00,703896.00,--,--,703896.00,131067.00,--,834963.00,832048.00,--,-128152.00,952033.00,--,-117070.00,1.64,
"1203","味王公司",4662513.00,3658878.00,1003635.00,0.00,0.00,1003635.00,639028.00,--,364607.00,50526.00,415133.00,79745.00,335388.00,0.00,--,335388.00,1054.00,--,336442.00,258761.00,--,76627.00,282364.00,--,54078.00,1.09,
"1210","大成長城",65599619.00,59973593.00,5626026.00,--,--,5626026.00,5092552.00,--,533474.00,299693.00,833167.00,183037.00,650130.00,--,--,650130.00,473531.00,--,1123661.00,610112.00,--,40018.00,912369.00,--,211292.00,1.16,
