???q?N??,???q?W??,???~???J,???~????,???~???Q?]???l?^,?????{?P?f?]?l?^?q,?w???{?P?f?]?l?^?q,???~???Q?]???l?^?b?B,???~?O??,???L???q?ζO?l?b?B,???~?Q?q?]?l???^,???~?~???J?Τ??X,?|?e?b?Q?]?b?l?^,?ұo?|?O?Ρ]?Q?q?^,?~?????~???쥻?��b?Q?]?b?l?^,???~?????l?q,?X?֫e?D?ݦ@?P???????v?l?q,???��b?Q?]?b?l?^,???L???X?l?q?]?b?B?^,?X?֫e?D?ݦ@?P???????v???X?l?q?b?B,???��??X?l?q?`?B,?b?Q?]?b?l?^?k?ݩ??��??q?~?D,?b?Q?]?b?l?^?k?ݩ??@?P?????U?e???v?q,?b?Q?]?b?l?^?k?ݩ??D?????v?q,???X?l?q?`?B?k?ݩ??��??q?~?D,???X?l?q?`?B?k?ݩ??@?P?????U?e???v?q,???X?l?q?`?B?k?ݩ??D?????v?q,?򥻨C?Ѭվl?]???^,
1101,?x?d,116098947.00,93275950.00,22822997.00,--,--,22822997.00,5047022.00,--,17775975.00,828481.00,18604456.00,3485773.00,15118683.00,--,--,15118683.00,6121882.00,--,21240565.00,10026731.00,--,5091952.00,14336481.00,--,6904084.00,2.72,
1102,?Ȫd,70172781.00,61158946.00,9013835.00,32.00,--,9013803.00,2370095.00,--,6643708.00,3634132.00,10277840.00,1825950.00,8451890.00,--,--,8451890.00,2334447.00,--,10786337.00,6805830.00,--,1646060.00,8373288.00,--,2413049.00,2.21,
1103,?Ūd,4268305.00,4033360.00,234945.00,--,--,234945.00,473491.00,654569.00,416023.00,922781.00,1338804.00,48877.00,1289927.00,--,--,1289927.00,3889029.00,--,5178956.00,1272068.00,--,17859.00,4994028.00,--,184928.00,1.97,
1104,???y???d,5276157.00,4814387.00,461770.00,--,--,461770.00,346881.00,--,114889.00,1033604.00,1148493.00,29514.00,1118979.00,--,--,1118979.00,628425.00,--,1747404.00,1113121.00,--,5858.00,1741546.00,--,5858.00,1.84,
1108,???֤??d,4869590.00,4327188.00,542402.00,--,--,542402.00,271271.00,--,271131.00,-59423.00,211708.00,48891.00,162817.00,--,--,162817.00,-10140.00,--,152677.00,179445.00,--,-16628.00,171043.00,--,-18366.00,0.44,
1109,?H?j???d,4551240.00,3746125.00,805115.00,--,--,805115.00,482249.00,0.00,322866.00,48159.00,371025.00,48325.00,322700.00,0.00,--,322700.00,101176.00,--,423876.00,274532.00,--,48168.00,330324.00,--,93552.00,0.65,
1110,?F?d,2024604.00,1766933.00,257671.00,--,--,257671.00,63241.00,--,194430.00,-82500.00,111930.00,-34930.00,146860.00,--,--,146860.00,216128.00,--,362988.00,146033.00,--,827.00,362154.00,--,834.00,0.26,
1201,???????q,29200402.00,19976484.00,9223918.00,--,--,9223918.00,7926750.00,--,1297168.00,-190556.00,1106612.00,402662.00,703950.00,--,--,703950.00,123608.00,--,827558.00,872887.00,--,-168937.00,972832.00,--,-145274.00,1.72,
1203,???????q,5996151.00,4688234.00,1307917.00,0.00,0.00,1307917.00,862121.00,--,445796.00,84900.00,530696.00,167473.00,363223.00,0.00,--,363223.00,-20455.00,--,342768.00,263475.00,--,99748.00,295460.00,--,47308.00,1.11,
1210,?j??????,90478017.00,82822769.00,7655248.00,--,--,7655248.00,6814943.00,--,840305.00,1753033.00,2593338.00,336698.00,2256640.00,--,--,2256640.00,394395.00,--,2651035.00,1795696.00,--,460944.00,1948551.00,--,702484.00,3.42,
